Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
Zimbabwe,bat,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,"[3, 2, 4, 4, 7, 8, 4, 10, 10, 10, 10]",3.0,"[61.32, 67.84, 76.08, 86.69, 76.71, 86.43, 79.55, 39.56, 32.7, 32.62, 31.05]",0,22
Zimbabwe,bat,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,"[3, 2, 7, 7, 8, 7, 7, 9, 10, 10, 10]",2.0,"[61.32, 67.84, 76.08, 86.69, 76.71, 86.43, 79.55, 39.56, 32.7, 32.62, 31.05]",5,0
Sri Lanka,bat,Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),"[1, 3, 3, 1, 2, 9, 7, 7, 10, 10, 10]",3.0,"[92.91, 74.24, 59.34, 78.59, 89.79, 91.47, 111.04, 31.87, 35.17, 29.5, 35.4]",0,78
South Africa,bat,Sri Lanka,South Africa,South Africa,Colombo (RPS),"[3, 1, 1, 7, 8, 7, 7, 9, 10, 7, 10]",1.0,"[129.56, 98.28, 130.92, 87.21, 115.17, 31.74, 78.84, 93.1, 27.77, 30.65, 31.72]",0,67
Sri Lanka,bat,Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),"[3, 3, 2, 1, 5, 7, 4, 9, 10, 10, 10]",2.0,"[92.91, 72.16, 133.72, 78.59, 89.79, 91.47, 111.04, 31.87, 35.17, 69.78, 35.4]",0,14
India,bat,Sri Lanka,India,Sri Lanka,Colombo (RPS),"[3, 1, 1, 7, 8, 7, 7, 9, 10, 10, 10]",2.0,"[113.85, 91.35, 133.09, 126.15, 105.02, 110.35, 55.55, 27.24, 23.85, 80.16, 34.0]",3,0
Sri Lanka,bat,Sri Lanka,India,India,Colombo (RPS),"[3, 1, 1, 7, 8, 7, 7, 9, 7, 10, 10]",1.0,"[92.91, 72.16, 133.72, 78.59, 89.79, 91.47, 111.04, 31.87, 35.17, 57.0, 36.11]",3,0
Sri Lanka,bat,Sri Lanka,India,India,Colombo (RPS),"[3, 2, 1, 7, 1, 7, 7, 9, 10, 10, 10]",2.0,"[92.91, 72.16, 133.72, 78.59, 89.79, 91.47, 111.04, 31.87, 137.63, 35.17, 57.0]",7,0
Sri Lanka,field,England,Sri Lanka,no result,Bristol,"[1, 2, 3, 7, 8, 7, 7, 9, 10, 10, 10]",3.0,"[92.91, 92.88, 90.96, 78.59, 64.34, 111.04, 91.47, 31.87, 30.5, 35.17, 53.8]",0,0
Sri Lanka,field,England,Sri Lanka,England,The Oval,"[1, 2, 8, 7, 7, 8, 7, 9, 10, 10, 10]",1.0,"[92.91, 92.88, 90.96, 78.59, 64.34, 111.04, 91.47, 31.87, 30.5, 35.17, 53.8]",8,0
England,field,England,Sri Lanka,England,Chester-le-Street,"[7, 2, 1, 2, 7, 2, 7, 7, 9, 10, 10]",1.0,"[90.96, 92.88, 92.91, 78.59, 89.79, 111.04, 91.47, 31.87, 30.5, 35.17, 53.8]",5,0
England,field,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[3, 2, 7, 2, 4, 7, 7, 7, 9, 10, 10]",3.0,"[90.96, 92.88, 89.79, 91.47, 111.04, 69.49, 100.0, 31.87, 30.5, 35.17, 35.4]",0,97
