Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
Sri Lanka,bat,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[3, 3, 7, 4, 4, 4, 10, 10, 10, 10, 10]",3.0,"[92.88, 86.23, 78.86, 74.24, 87.09, 82.9, 32.8, 83.33, 35.35, 28.87, 21.86]",0,13
Bangladesh,field,Pakistan,Sri Lanka,Sri Lanka,Abu Dhabi,"[2, 7, 2, 2, 7, 7, 10, 4, 10, 10, 10]",2.0,"[92.88, 86.23, 78.86, 74.24, 87.09, 82.9, 83.33, 33.92, 32.8, 35.35, 28.87]",2,0
Pakistan,bat,Pakistan,Sri Lanka,Pakistan,Abu Dhabi,"[3, 3, 7, 4, 4, 7, 4, 10, 10, 10, 10]",1.0,"[113.4, 72.08, 76.61, 116.66, 73.75, 86.04, 36.7, 38.06, 29.34, 22.72, 29.23]",8,0
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Sharjah,"[3, 3, 7, 4, 4, 7, 4, 10, 10, 10, 10]",3.0,"[92.88, 86.23, 78.86, 74.24, 87.09, 82.9, 33.92, 83.33, 35.35, 32.42, 28.87]",0,113
Sri Lanka,field,Pakistan,Sri Lanka,Sri Lanka,Dubai (DSC),"[3, 3, 7, 4, 7, 4, 10, 4, 10, 10, 10]",3.0,"[113.4, 72.08, 76.61, 116.66, 73.75, 117.0, 86.04, 73.16, 22.72, 29.23, 29.34]",2,0
Sri Lanka,field,Pakistan,Sri Lanka,Pakistan,Sharjah,"[5, 7, 2, 1, 7, 2, 9, 10, 10, 10, 10]",3.0,"[113.4, 72.08, 76.61, 116.66, 73.75, 117.0, 86.04, 73.16, 36.14, 22.72, 29.23]",0,11
Pakistan,bat,Sri Lanka,New Zealand,Sri Lanka,Dambulla,"[3, 7, 2, 5, 2, 7, 1, 10, 10, 10, 10]",2.0,"[113.4, 72.08, 76.61, 116.66, 117.0, 86.04, 73.16, 73.75, 36.14, 22.72, 29.23]",0,36
New Zealand,field,Sri Lanka,New Zealand,New Zealand,Hambantota,"[3, 7, 2, 5, 7, 1, 2, 10, 10, 10, 10]",2.0,"[78.96, 86.23, 78.86, 72.27, 82.9, 74.24, 32.8, 33.92, 35.35, 31.91, 28.87]",4,0
Sri Lanka,bat,Sri Lanka,New Zealand,no result,Hambantota,"[7, 2, 1, 2, 7, 9, 2, 7, 10, 10, 10]",3.0,"[79.56, 86.23, 78.86, 78.96, 74.24, 82.9, 72.27, 33.92, 35.35, 31.91, 28.87]",0,0
New Zealand,field,Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),"[1, 2, 8, 2, 4, 4, 8, 10, 10, 10, 10]",2.0,"[79.56, 86.23, 78.86, 78.96, 82.9, 72.27, 74.24, 33.92, 28.87, 35.35, 31.91]",0,128
Sri Lanka,bat,Sri Lanka,South Africa,Sri Lanka,Pallekele,"[5, 2, 8, 2, 4, 8, 4, 10, 7, 10, 10]",3.0,"[86.23, 92.88, 72.27, 78.86, 82.9, 32.8, 74.24, 90.76, 35.35, 32.42, 21.86]",8,0
South Africa,bat,Sri Lanka,South Africa,South Africa,Pallekele,"[5, 7, 2, 5, 1, 2, 7, 9, 10, 10, 10]",3.0,"[88.39, 96.64, 84.55, 101.09, 88.6, 144.55, 128.21, 35.73, 37.33, 25.32, 24.96]",0,56
South Africa,bat,Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),"[5, 7, 2, 5, 1, 9, 2, 7, 10, 10, 10]",3.0,"[82.62, 96.64, 84.55, 101.09, 88.6, 128.21, 144.55, 35.73, 71.32, 25.32, 24.96]",0,17
Sri Lanka,bat,Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),"[5, 5, 2, 1, 7, 2, 2, 10, 10, 10, 10]",3.0,"[75.92, 86.23, 78.86, 78.96, 72.27, 74.24, 63.13, 32.8, 31.91, 32.66, 28.87]",0,180
South Africa,field,India,Sri Lanka,India,Port of Spain,"[1, 3, 1, 2, 4, 3, 7, 9, 10, 10, 10]",1.0,"[75.92, 86.23, 78.86, 78.96, 72.27, 32.8, 74.24, 63.13, 31.91, 32.66, 28.87]",0,0
India,field,India,Sri Lanka,India,Port of Spain,"[5, 5, 2, 2, 1, 7, 7, 10, 10, 10, 10]",1.0,"[75.92, 78.96, 78.86, 72.27, 82.9, 92.88, 74.24, 31.91, 32.66, 28.87, 32.42]",0,81
Sri Lanka,field,West Indies,Sri Lanka,Sri Lanka,Port of Spain,"[5, 5, 7, 2, 2, 2, 1, 10, 10, 10, 10]",1.0,"[91.97, 91.35, 93.58, 73.24, 93.5, 66.99, 85.06, 33.2, 35.11, 30.98, 33.63]",0,39
West Indies,field,India,Sri Lanka,Sri Lanka,Kingston,"[5, 5, 2, 2, 7, 1, 10, 7, 10, 10, 10]",1.0,"[75.92, 78.96, 78.86, 74.24, 72.27, 82.9, 118.96, 33.92, 35.35, 28.87, 32.66]",0,161
India,field,West Indies,Sri Lanka,West Indies,Kingston,"[2, 7, 2, 1, 5, 7, 7, 9, 10, 10, 10]",2.0,"[75.92, 78.96, 82.9, 92.88, 78.86, 74.24, 72.27, 33.92, 35.35, 31.91, 28.87]",6,0
West Indies,field,India,Sri Lanka,India,Cardiff,"[2, 7, 2, 1, 5, 7, 2, 10, 10, 10, 10]",4.0,"[75.92, 78.96, 78.86, 74.24, 82.9, 72.27, 33.92, 118.96, 31.91, 28.87, 21.86]",8,0
India,field,Australia,Sri Lanka,Sri Lanka,The Oval,"[3, 1, 1, 1, 4, 2, 8, 7, 10, 10, 10]",2.0,"[92.88, 86.23, 78.86, 72.27, 78.96, 82.9, 118.96, 32.8, 33.92, 28.87, 31.91]",0,20
Australia,field,England,Sri Lanka,Sri Lanka,The Oval,"[2, 7, 2, 5, 2, 7, 1, 9, 10, 10, 10]",5.0,"[92.88, 86.23, 78.86, 72.27, 78.96, 82.9, 74.24, 33.92, 31.91, 28.87, 32.66]",7,0
Sri Lanka,field,New Zealand,Sri Lanka,New Zealand,Cardiff,"[2, 7, 2, 9, 7, 7, 2, 1, 10, 10, 10]",3.0,"[77.13, 77.16, 77.06, 86.77, 91.16, 117.11, 77.84, 90.25, 30.13, 27.76, 29.22]",0,0
Sri Lanka,bat,Sri Lanka,Bangladesh,Bangladesh,Pallekele,"[2, 7, 2, 2, 1, 7, 7, 9, 10, 10, 10]",5.0,"[92.88, 86.23, 78.86, 78.96, 74.24, 82.9, 72.27, 32.8, 31.91, 32.66, 28.87]",3,0
Sri Lanka,bat,Sri Lanka,Bangladesh,no result,Hambantota,"[3, 2, 4, 2, 7, 7, 7, 10, 10, 10, 10]",2.0,"[92.88, 86.23, 78.86, 32.8, 82.9, 118.96, 74.24, 72.27, 33.92, 35.35, 28.87]",0,0
Sri Lanka,field,Sri Lanka,Bangladesh,Sri Lanka,Hambantota,"[2, 3, 3, 1, 7, 8, 7, 10, 10, 10, 10]",5.0,"[92.88, 86.23, 78.86, 74.24, 72.27, 82.9, 118.96, 32.8, 33.92, 35.35, 28.87]",8,0
Sri Lanka,field,Australia,Sri Lanka,Australia,Hobart,"[3, 3, 4, 7, 1, 2, 7, 10, 10, 10, 10]",3.0,"[78.52, 74.77, 70.1, 79.74, 76.92, 79.81, 112.72, 32.81, 62.1, 29.29, 34.31]",0,32
Sri Lanka,field,Australia,Sri Lanka,no result,Sydney,"[3, 3, 4, 7, 1, 2, 7, 10, 10, 10, 10]",5.0,"[81.59, 97.26, 75.09, 83.51, 121.34, 126.91, 60.93, 25.26, 22.96, 24.37, 40.43]",0,0
Australia,bat,Australia,Sri Lanka,Sri Lanka,Brisbane,"[1, 3, 1, 7, 4, 8, 2, 7, 10, 10, 10]",2.0,"[97.26, 75.09, 78.98, 121.34, 83.51, 81.59, 60.93, 25.26, 22.96, 24.37, 40.43]",4,0
Australia,bat,Australia,Sri Lanka,Sri Lanka,Adelaide,"[1, 3, 1, 1, 7, 8, 2, 10, 10, 10, 10]",5.0,"[97.26, 75.09, 78.98, 121.34, 83.51, 81.59, 60.93, 25.26, 22.96, 24.37, 40.43]",8,0
Sri Lanka,field,Australia,Sri Lanka,Australia,Melbourne,"[5, 2, 1, 7, 2, 5, 7, 9, 10, 7, 10]",1.0,"[87.73, 75.09, 83.51, 121.34, 87.41, 126.91, 84.24, 148.14, 23.53, 24.37, 40.43]",0,107
Australia,bat,Sri Lanka,New Zealand,no result,Hambantota,"[3, 2, 2, 4, 1, 7, 10, 7, 10, 10, 10]",4.0,"[87.73, 75.09, 84.09, 83.51, 121.34, 126.91, 84.24, 25.26, 22.96, 24.37, 40.43]",0,0
Sri Lanka,field,Sri Lanka,New Zealand,Sri Lanka,Hambantota,"[3, 2, 2, 4, 7, 7, 1, 10, 10, 10, 10]",2.0,"[75.92, 74.24, 72.27, 82.9, 78.86, 78.96, 118.96, 32.8, 32.66, 69.78, 28.87]",7,0
Sri Lanka,field,Sri Lanka,New Zealand,Sri Lanka,Pallekele,"[3, 2, 2, 4, 7, 10, 7, 1, 10, 10, 10]",5.0,"[75.51, 68.37, 96.37, 83.32, 81.38, 76.92, 22.03, 119.04, 33.7, 24.98, 24.38]",7,0
Sri Lanka,field,Sri Lanka,New Zealand,Sri Lanka,Pallekele,"[1, 1, 1, 1, 5, 4, 2, 7, 9, 10, 10]",2.0,"[75.51, 68.37, 96.37, 83.32, 86.61, 76.92, 81.38, 22.03, 27.02, 33.7, 24.38]",0,14
New Zealand,bat,Sri Lanka,India,India,Pallekele,"[5, 7, 1, 2, 5, 7, 7, 9, 10, 10, 10]",4.0,"[75.51, 85.71, 68.37, 83.32, 76.92, 22.03, 119.04, 81.38, 27.02, 33.7, 24.38]",0,20
India,bat,Sri Lanka,India,India,Colombo (RPS),"[5, 7, 2, 2, 5, 7, 7, 9, 10, 7, 10]",2.0,"[85.25, 78.63, 93.58, 91.97, 88.23, 93.5, 87.56, 79.54, 33.2, 29.43, 14.41]",6,0
Sri Lanka,bat,Sri Lanka,India,India,Colombo (RPS),"[1, 1, 1, 1, 4, 2, 7, 9, 10, 10, 10]",5.0,"[75.92, 86.23, 72.27, 74.24, 78.96, 82.9, 118.96, 32.8, 31.91, 28.87, 37.12]",5,0
Sri Lanka,bat,Sri Lanka,India,Sri Lanka,Hambantota,"[1, 1, 1, 1, 4, 2, 7, 9, 10, 10, 10]",1.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 82.9, 118.96, 32.8, 31.91, 137.63, 28.87]",9,0
India,bat,Sri Lanka,India,India,Hambantota,"[1, 7, 1, 4, 4, 4, 7, 10, 10, 2, 10]",5.0,"[85.25, 104.33, 93.58, 91.97, 93.5, 87.56, 79.54, 33.2, 29.43, 31.04, 33.63]",0,21
India,bat,Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS),"[5, 7, 2, 2, 5, 9, 7, 1, 10, 10, 10]",2.0,"[85.25, 104.33, 93.58, 91.97, 93.5, 87.56, 79.54, 33.2, 29.43, 33.63, 31.04]",2,0
Pakistan,bat,Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS),"[7, 1, 4, 4, 4, 4, 7, 2, 10, 10, 10]",4.0,"[69.06, 76.61, 74.45, 67.5, 73.75, 86.04, 117.0, 36.14, 29.34, 87.85, 29.47]",0,44
Sri Lanka,bat,Sri Lanka,Pakistan,no result,Colombo (RPS),"[5, 7, 2, 2, 5, 9, 1, 7, 10, 10, 10]",3.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 32.8, 82.9, 72.27, 33.92, 28.87, 22.01]",0,0
Sri Lanka,field,Sri Lanka,Pakistan,Sri Lanka,Pallekele,"[5, 7, 2, 2, 5, 7, 1, 9, 10, 10, 10]",4.0,"[76.61, 74.45, 67.5, 73.75, 75.29, 86.04, 117.0, 87.85, 29.34, 22.72, 36.14]",0,76
Sri Lanka,bat,Sri Lanka,Pakistan,Pakistan,Pallekele,"[5, 7, 2, 4, 1, 5, 7, 10, 10, 10, 10]",3.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 32.8, 72.27, 82.9, 31.91, 33.92, 28.87]",6,0
Sri Lanka,bat,Bangladesh,Sri Lanka,Bangladesh,Mirpur,"[5, 7, 2, 2, 1, 5, 7, 10, 7, 10, 10]",5.0,"[78.96, 86.23, 78.86, 74.24, 75.92, 82.9, 72.27, 32.8, 33.92, 31.91, 28.87]",5,0
Bangladesh,field,Pakistan,Sri Lanka,Pakistan,Mirpur,"[1, 1, 1, 2, 4, 1, 7, 7, 9, 10, 10]",2.0,"[78.96, 86.23, 78.86, 72.04, 72.27, 75.92, 86.01, 33.92, 35.35, 28.87, 32.42]",6,0
Sri Lanka,bat,India,Sri Lanka,India,Mirpur,"[2, 3, 7, 4, 7, 4, 7, 10, 10, 10, 10]",5.0,"[78.96, 86.23, 78.86, 74.24, 72.27, 75.92, 86.01, 33.92, 94.6, 28.87, 32.42]",0,50
Sri Lanka,field,Australia,Sri Lanka,Australia,Adelaide,"[2, 3, 7, 4, 4, 7, 7, 10, 10, 10, 10]",3.0,"[85.25, 86.23, 93.58, 87.56, 93.5, 91.97, 85.06, 79.54, 33.2, 36.02, 37.44]",0,16
Sri Lanka,field,Australia,Sri Lanka,Sri Lanka,Adelaide,"[3, 2, 7, 7, 7, 4, 4, 10, 10, 10, 10]",5.0,"[81.59, 97.26, 90.44, 87.16, 121.34, 43.68, 126.88, 23.36, 24.37, 40.43, 46.0]",8,0
Australia,bat,Australia,Sri Lanka,Australia,Brisbane,"[5, 7, 2, 2, 1, 7, 9, 10, 10, 10, 10]",1.0,"[81.59, 97.26, 90.44, 78.98, 87.16, 121.34, 126.88, 23.36, 42.56, 40.43, 24.37]",0,15
Australia,bat,Australia,Sri Lanka,Sri Lanka,Melbourne,"[5, 7, 2, 9, 7, 2, 1, 7, 10, 10, 10]",5.0,"[97.26, 81.59, 90.44, 126.88, 121.34, 78.98, 87.16, 23.36, 42.56, 40.43, 37.06]",0,9
Sri Lanka,bat,India,Sri Lanka,India,Hobart,"[2, 3, 4, 4, 4, 7, 7, 10, 10, 10, 10]",2.0,"[78.96, 86.23, 78.86, 74.24, 72.27, 82.9, 32.8, 35.35, 33.92, 31.91, 28.87]",7,0
India,field,Australia,Sri Lanka,Sri Lanka,Hobart,"[5, 7, 2, 2, 1, 7, 9, 7, 10, 10, 10]",4.0,"[78.96, 86.23, 78.86, 32.8, 82.9, 74.24, 72.27, 86.01, 33.92, 28.87, 31.91]",3,0
Australia,bat,India,Sri Lanka,Sri Lanka,Brisbane,"[3, 2, 1, 4, 4, 7, 7, 10, 10, 10, 10]",2.0,"[81.59, 97.26, 43.68, 78.98, 87.16, 121.34, 126.88, 23.36, 18.9, 40.43, 37.06]",0,51
Sri Lanka,bat,Australia,Sri Lanka,Sri Lanka,Sydney,"[5, 7, 2, 2, 5, 7, 9, 10, 10, 10, 10]",5.0,"[78.96, 86.23, 78.86, 74.24, 72.27, 82.9, 32.8, 86.01, 33.92, 28.87, 31.91]",8,0
Australia,bat,India,Sri Lanka,tied,Adelaide,"[3, 2, 1, 4, 4, 7, 7, 10, 10, 10, 10]",3.0,"[97.26, 81.59, 80.39, 43.68, 87.16, 121.34, 126.88, 24.37, 23.36, 22.96, 40.43]",0,0
Sri Lanka,bat,Australia,Sri Lanka,Australia,Perth,"[5, 7, 2, 2, 5, 9, 7, 1, 10, 10, 10]",4.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 82.9, 32.8, 33.92, 35.35, 28.87, 31.91]",0,5
Sri Lanka,field,India,Sri Lanka,India,Perth,"[3, 5, 4, 2, 9, 8, 1, 10, 10, 10, 10]",1.0,"[97.26, 81.59, 80.39, 78.98, 87.16, 121.34, 126.88, 18.9, 24.37, 22.96, 40.43]",4,0
Sri Lanka,bat,South Africa,Sri Lanka,Sri Lanka,Johannesburg,"[5, 3, 2, 1, 8, 4, 10, 10, 7, 10, 10]",4.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 32.8, 82.9, 72.27, 33.92, 28.87, 30.5]",2,0
Sri Lanka,field,South Africa,Sri Lanka,Sri Lanka,Kimberley,"[5, 7, 2, 2, 5, 10, 7, 7, 10, 10, 10]",3.0,"[80.81, 82.62, 88.6, 101.09, 37.98, 84.55, 129.62, 30.4, 35.73, 25.32, 24.96]",5,0
South Africa,bat,South Africa,Sri Lanka,South Africa,Bloemfontein,"[5, 7, 2, 2, 5, 10, 7, 7, 10, 10, 10]",4.0,"[82.62, 80.81, 101.09, 129.62, 84.55, 88.6, 30.4, 35.73, 70.89, 25.32, 24.96]",0,4
Sri Lanka,bat,South Africa,Sri Lanka,South Africa,East London,"[1, 3, 7, 2, 9, 8, 4, 10, 10, 10, 10]",2.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 33.92, 82.9, 52.77, 28.87, 31.91, 30.5]",5,0
South Africa,field,South Africa,Sri Lanka,South Africa,Paarl,"[5, 7, 2, 2, 5, 7, 7, 9, 7, 10, 10]",5.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 33.92, 82.9, 52.77, 28.87, 31.91, 30.5]",0,258
South Africa,bat,Pakistan,Sri Lanka,Pakistan,Abu Dhabi,"[7, 1, 4, 4, 7, 4, 7, 2, 10, 10, 10]",3.0,"[88.39, 80.81, 72.89, 101.09, 37.98, 84.55, 88.6, 35.73, 25.95, 25.32, 24.96]",3,0
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Sharjah,"[7, 1, 7, 4, 4, 4, 7, 2, 10, 10, 10]",4.0,"[75.92, 86.23, 74.24, 78.86, 70.4, 82.9, 118.96, 32.8, 94.6, 28.87, 30.2]",0,26
Pakistan,bat,Pakistan,Sri Lanka,Pakistan,Dubai (DSC),"[5, 7, 2, 2, 5, 7, 7, 9, 10, 7, 10]",2.0,"[76.61, 69.06, 75.29, 73.75, 81.9, 86.04, 117.0, 87.85, 22.72, 29.34, 25.78]",0,21
Pakistan,bat,Pakistan,Sri Lanka,Sri Lanka,Dubai (DSC),"[5, 7, 2, 2, 5, 7, 7, 7, 10, 10, 10]",4.0,"[76.61, 69.06, 81.25, 75.29, 86.04, 73.75, 117.0, 87.85, 36.14, 29.34, 22.72]",0,25
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Dubai (DSC),"[7, 1, 1, 4, 4, 7, 2, 10, 7, 10, 10]",1.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 82.9, 118.96, 32.8, 28.87, 94.6, 30.2]",8,0
Sri Lanka,bat,Sri Lanka,Australia,Sri Lanka,Colombo (RPS),"[5, 7, 2, 5, 5, 7, 10, 10, 7, 10, 10]",4.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 82.9, 52.77, 94.6, 28.87, 32.42, 30.2]",4,0
Sri Lanka,field,Sri Lanka,Australia,Australia,Colombo (RPS),"[5, 7, 2, 2, 5, 5, 7, 10, 10, 10, 10]",2.0,"[90.44, 81.41, 80.39, 78.98, 87.16, 121.34, 84.24, 25.26, 99.26, 40.43, 42.56]",5,0
Sri Lanka,bat,Sri Lanka,Australia,Sri Lanka,Hambantota,"[5, 7, 2, 5, 2, 7, 7, 10, 10, 10, 10]",4.0,"[75.92, 86.23, 78.86, 78.96, 70.4, 82.9, 33.92, 32.66, 94.6, 28.87, 21.86]",0,78
Australia,field,Sri Lanka,Australia,Australia,Hambantota,"[5, 7, 2, 5, 2, 7, 7, 10, 10, 10, 10]",3.0,"[75.92, 86.23, 78.86, 74.24, 78.96, 70.4, 118.96, 33.92, 32.66, 28.87, 21.86]",8,0
Sri Lanka,bat,Sri Lanka,Australia,Australia,Pallekele,"[5, 3, 7, 1, 2, 7, 7, 9, 10, 10, 10]",4.0,"[75.92, 86.23, 78.86, 78.96, 74.24, 82.9, 118.96, 33.92, 28.87, 31.91, 21.86]",7,0
Sri Lanka,bat,Scotland,Sri Lanka,Sri Lanka,Edinburgh,"[3, 3, 1, 1, 4, 1, 7, 7, 10, 10, 10]",3.0,"[75.92, 86.23, 78.86, 78.96, 74.24, 82.9, 118.96, 33.72, 33.92, 21.86, 32.42]",0,183
Scotland,field,England,Sri Lanka,England,Manchester,"[5, 7, 2, 2, 1, 10, 7, 7, 10, 10, 10]",4.0,"[78.96, 79.56, 86.23, 61.9, 74.24, 82.9, 118.96, 32.8, 28.87, 30.5, 21.86]",0,16
England,bat,England,Sri Lanka,England,Nottingham,"[3, 3, 1, 1, 4, 1, 7, 10, 10, 10, 10]",1.0,"[111.91, 77.13, 77.06, 86.58, 91.16, 77.16, 93.23, 90.25, 27.76, 29.22, 26.59]",10,0
England,field,England,Sri Lanka,Sri Lanka,Lord's,"[5, 7, 2, 2, 7, 10, 7, 1, 10, 10, 10]",4.0,"[78.96, 86.23, 74.24, 78.86, 61.9, 33.72, 82.9, 118.96, 33.92, 28.87, 32.42]",6,0
England,bat,England,Sri Lanka,Sri Lanka,Leeds,"[3, 3, 1, 1, 4, 1, 7, 10, 10, 10, 10]",2.0,"[77.13, 111.91, 77.06, 86.58, 91.16, 77.16, 90.25, 30.13, 27.76, 29.22, 26.59]",0,69
England,field,England,Sri Lanka,England,The Oval,"[5, 7, 2, 5, 5, 4, 10, 9, 10, 10, 10]",4.0,"[78.96, 86.23, 74.24, 78.86, 82.9, 33.92, 118.96, 61.9, 32.42, 33.72, 28.87]",0,110
Sri Lanka,field,India,Sri Lanka,India,Wankhede,"[3, 2, 7, 4, 7, 1, 10, 7, 7, 10, 10]",1.0,"[77.13, 111.91, 77.06, 86.58, 91.16, 77.16, 90.25, 30.13, 27.76, 26.59, 29.22]",6,0
Sri Lanka,bat,Sri Lanka,New Zealand,Sri Lanka,Colombo (RPS),"[3, 1, 1, 8, 4, 10, 2, 1, 7, 7, 10]",4.0,"[75.92, 86.23, 78.86, 78.96, 69.29, 72.04, 33.92, 32.8, 28.87, 33.72, 23.08]",5,0
New Zealand,bat,Sri Lanka,England,Sri Lanka,Colombo (RPS),"[5, 7, 2, 5, 7, 5, 5, 10, 10, 10, 10]",1.0,"[87.29, 96.37, 95.31, 83.32, 79.41, 81.38, 22.03, 86.61, 82.98, 33.7, 29.62]",10,0
England,bat,New Zealand,Sri Lanka,Sri Lanka,Wankhede,"[5, 7, 9, 5, 2, 7, 5, 5, 10, 10, 10]",4.0,"[80.94, 77.16, 77.06, 77.84, 91.16, 27.76, 76.76, 137.0, 90.25, 67.35, 47.0]",0,112
Sri Lanka,bat,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,"[5, 7, 2, 5, 5, 5, 7, 10, 10, 10, 10]",1.0,"[75.92, 86.23, 78.86, 78.96, 82.9, 69.29, 70.4, 33.92, 28.87, 23.08, 21.86]",0,139
Zimbabwe,field,Sri Lanka,Australia,no result,Colombo (RPS),"[2, 3, 7, 1, 7, 4, 10, 10, 10, 10, 10]",5.0,"[75.92, 86.23, 32.8, 78.96, 78.86, 82.9, 70.4, 69.29, 33.92, 28.87, 23.08]",0,0
Sri Lanka,field,Sri Lanka,Kenya,Sri Lanka,Colombo (RPS),"[3, 7, 2, 4, 4, 4, 7, 7, 10, 10, 10]",3.0,"[75.92, 86.23, 78.86, 78.96, 69.29, 70.4, 82.9, 31.91, 28.87, 23.08, 21.86]",9,0
Kenya,bat,Sri Lanka,Pakistan,Pakistan,Colombo (RPS),"[5, 7, 2, 5, 9, 7, 4, 5, 10, 10, 10]",5.0,"[79.37, 48.49, 119.31, 94.73, 122.77, 86.31, 16.3, 27.73, 35.4, 17.23, 23.44]",0,11
Pakistan,bat,Sri Lanka,Canada,Sri Lanka,Hambantota,"[5, 7, 2, 5, 4, 5, 9, 7, 10, 10, 10]",2.0,"[72.08, 76.61, 83.94, 75.29, 73.75, 86.04, 117.0, 81.25, 29.34, 38.06, 24.97]",0,210
Sri Lanka,bat,Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),"[7, 3, 1, 5, 7, 8, 6, 7, 10, 10, 10]",4.0,"[75.92, 86.23, 78.86, 78.96, 32.8, 82.9, 72.04, 69.29, 33.92, 23.08, 21.86]",0,26
West Indies,field,Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),"[7, 3, 1, 5, 8, 5, 7, 6, 10, 10, 10]",3.0,"[75.92, 86.23, 78.86, 78.96, 72.04, 69.29, 32.8, 82.9, 31.91, 21.86, 30.2]",8,0
Sri Lanka,field,Sri Lanka,West Indies,no result,Colombo (SSC),"[5, 7, 2, 5, 5, 7, 7, 10, 9, 10, 10]",4.0,"[87.19, 64.37, 70.11, 75.74, 82.3, 135.14, 67.03, 100.05, 36.88, 29.35, 31.08]",0,0
Sri Lanka,field,Australia,Sri Lanka,Australia,Brisbane,"[5, 7, 5, 2, 7, 5, 9, 10, 10, 10, 10]",2.0,"[87.19, 64.37, 70.11, 75.74, 135.14, 70.74, 100.05, 67.03, 36.88, 31.08, 29.35]",8,0
Sri Lanka,bat,Australia,Sri Lanka,Sri Lanka,Sydney,"[7, 2, 4, 4, 4, 1, 4, 10, 7, 10, 10]",4.0,"[75.92, 86.23, 78.86, 78.96, 70.4, 82.9, 118.96, 33.72, 32.8, 28.87, 30.2]",0,29
Sri Lanka,bat,Australia,Sri Lanka,Sri Lanka,Melbourne,"[5, 7, 5, 2, 4, 7, 5, 9, 10, 10, 10]",3.0,"[75.92, 86.23, 78.96, 78.86, 82.9, 70.4, 32.8, 33.72, 33.92, 23.08, 28.87]",0,0
Australia,bat,Sri Lanka,India,Sri Lanka,Dambulla,"[2, 1, 1, 4, 4, 2, 7, 10, 10, 10, 10]",4.0,"[90.44, 84.24, 78.98, 87.16, 80.12, 81.41, 87.41, 25.26, 99.26, 40.43, 43.7]",0,74
Sri Lanka,bat,Sri Lanka,India,Sri Lanka,Dambulla,"[5, 7, 2, 5, 5, 4, 7, 10, 10, 10, 10]",1.0,"[78.96, 86.23, 75.92, 78.86, 72.04, 82.9, 70.4, 32.8, 33.72, 33.92, 28.87]",8,0
India,bat,Sri Lanka,New Zealand,no result,Dambulla,"[5, 7, 2, 5, 5, 7, 4, 10, 10, 10, 10]",5.0,"[73.24, 104.33, 91.97, 87.67, 93.5, 87.56, 85.06, 36.02, 31.72, 30.98, 31.04]",0,0
Sri Lanka,field,Sri Lanka,India,India,Dambulla,"[2, 3, 4, 1, 7, 2, 10, 10, 10, 10, 10]",1.0,"[75.92, 86.23, 78.86, 78.96, 70.4, 72.04, 82.9, 21.86, 31.91, 33.92, 28.87]",6,0
Sri Lanka,bat,Sri Lanka,New Zealand,Sri Lanka,Dambulla,"[1, 2, 1, 2, 1, 4, 7, 10, 10, 10, 10]",4.0,"[75.92, 86.23, 78.86, 78.96, 69.29, 82.9, 72.04, 33.72, 33.92, 28.87, 30.2]",3,0
New Zealand,bat,Sri Lanka,India,India,Dambulla,"[1, 2, 1, 1, 4, 2, 7, 10, 10, 10, 10]",1.0,"[68.37, 87.29, 83.32, 81.38, 79.41, 75.88, 22.03, 32.12, 27.02, 33.7, 29.62]",0,81
India,bat,Sri Lanka,India,Sri Lanka,Dambulla,"[5, 7, 2, 5, 7, 4, 5, 10, 10, 10, 10]",4.0,"[85.25, 73.24, 93.58, 87.56, 91.97, 93.5, 85.06, 33.35, 36.02, 29.43, 31.72]",7,0
Sri Lanka,field,Sri Lanka,Bangladesh,Sri Lanka,Dambulla,"[5, 7, 2, 5, 5, 7, 4, 7, 10, 10, 10]",1.0,"[85.25, 73.24, 93.58, 91.97, 93.5, 87.56, 85.06, 36.02, 29.43, 14.41, 31.04]",0,126
Sri Lanka,bat,Sri Lanka,Pakistan,Sri Lanka,Dambulla,"[1, 2, 2, 4, 7, 7, 1, 10, 10, 10, 10]",5.0,"[75.92, 86.23, 78.86, 78.96, 82.9, 72.04, 69.29, 33.92, 23.08, 28.87, 28.86]",0,16
